id,title,book,chapter_start,verse_start,chapter_end,verse_end,approx_start_year,approx_end_year,time_label,location_name,latitude,longitude,event_type,people,tags,summary,sources,confidence
creation,Creation,Genesis,1,1,2,3,-4000,-4000,Primeval Age,Eden,,,creation,God|Adam|Eve,creation|origins|humanity,God creates the heavens and the earth and places humanity in Eden,Genesis 1-2,0.70
fall,Fall of Humanity,Genesis,3,1,3,24,-4000,-4000,Primeval Age,Eden,,,rebellion,Adam|Eve|Serpent,fall|sin|judgment,Humanity rebels against God and is expelled from Eden,Genesis 3,0.75
flood,The Flood,Genesis,6,5,9,17,-2500,-2500,Primeval Age,Ararat,39.702,44.299,judgment,Noah,judgment|covenant|flood,God judges the world by flood and preserves Noah and his family,Genesis 6-9,0.80
babel,Tower of Babel,Genesis,11,1,11,9,-2200,-2200,Primeval Age,Babylon,32.536,44.420,judgment,humanity,nations|language|judgment,Human pride at Babel leads to the confusion of languages,Genesis 11:1-9,0.75
abraham_call,Call of Abraham,Genesis,12,1,12,9,-2090,-2090,Patriarchal Period,Haran,36.867,39.031,calling,Abraham,patriarchs|promise|covenant,God calls Abram and promises to bless all nations through him,Genesis 12:1-9,0.90
abraham_covenant,Abrahamic Covenant,Genesis,15,1,17,27,-2080,-2080,Patriarchal Period,Canaan,31.500,35.000,covenant,Abraham,covenant|promise|land,God formalizes covenant promises with Abraham,Genesis 15-17,0.90
isaac_birth,Birth of Isaac,Genesis,21,1,21,7,-2065,-2065,Patriarchal Period,Beersheba,31.252,34.791,birth,Abraham|Sarah|Isaac,promise|patriarchs,Isaac is born as the child of promise,Genesis 21:1-7,0.90
jacob_bethel,Jacob at Bethel,Genesis,28,10,28,22,-1929,-1929,Patriarchal Period,Bethel,31.930,35.220,vision,Jacob,covenant|promise|worship,Jacob sees the ladder and receives covenant reassurance,Genesis 28:10-22,0.80
joseph_egypt,Joseph Rises in Egypt,Genesis,41,37,41,57,-1885,-1885,Patriarchal Period,Egypt,30.044,31.236,providence,Joseph,providence|wisdom|deliverance,Joseph rises to power in Egypt and preserves many lives,Genesis 41,0.85
exodus_call_moses,Call of Moses,Exodus,3,1,4,17,-1446,-1446,Exodus Period,Horeb,28.539,34.470,calling,Moses,deliverance|calling|covenant,God calls Moses at the burning bush to lead Israel out of Egypt,Exodus 3-4,0.90
passover,Passover and Exodus,Exodus,12,1,14,31,-1446,-1446,Exodus Period,Rameses,30.786,31.000,deliverance,Moses|Aaron|Pharaoh,passover|deliverance|exodus,Israel departs Egypt after the Passover judgment,Exodus 12-14,0.95
sinai_covenant,Covenant at Sinai,Exodus,19,1,24,18,-1446,-1446,Exodus Period,Mount Sinai,28.539,33.975,covenant,Moses|Israel,covenant|law|worship,God gives the law and covenant instructions at Sinai,Exodus 19-24,0.92
jordan_crossing,Crossing the Jordan,Joshua,3,1,4,24,-1406,-1406,Conquest Period,Jordan River,31.770,35.550,conquest,Joshua,conquest|promise|land,Israel crosses the Jordan into the promised land,Joshua 3-4,0.88
jericho,Fall of Jericho,Joshua,6,1,6,27,-1406,-1406,Conquest Period,Jericho,31.870,35.450,battle,Joshua,conquest|faith|judgment,Jericho falls as Israel follows God's command,Joshua 6,0.88
samuel_call,Call of Samuel,1 Samuel,3,1,3,21,-1100,-1100,Judges to Kingdom Transition,Shiloh,32.050,35.287,calling,Samuel,prophet|calling|transition,The Lord calls Samuel as prophet in Israel,1 Samuel 3,0.85
david_anointed,David Anointed,1 Samuel,16,1,16,13,-1025,-1025,United Kingdom,Bethlehem,31.705,35.202,anointing,David|Samuel,kingship|calling,Samuel anoints David as future king,1 Samuel 16:1-13,0.92
david_jerusalem,David Takes Jerusalem,2 Samuel,5,1,5,10,-1003,-1003,United Kingdom,Jerusalem,31.778,35.235,kingship,David,kingdom|jerusalem,David establishes Jerusalem as royal city,2 Samuel 5:1-10,0.92
solomon_temple,Temple Built,1 Kings,6,1,8,66,-966,-959,United Kingdom,Jerusalem,31.778,35.235,temple,Solomon,worship|temple|kingdom,Solomon builds and dedicates the temple,1 Kings 6-8,0.95
kingdom_divides,Kingdom Divides,1 Kings,12,1,12,24,-930,-930,Divided Kingdom,Shechem,32.218,35.272,kingdom,Rehoboam|Jeroboam,kingdom|division|judgment,The kingdom divides into Israel and Judah,1 Kings 12,0.95
elijah_carmel,Elijah at Carmel,1 Kings,18,20,18,46,-860,-860,Divided Kingdom,Mount Carmel,32.665,35.040,prophetic_conflict,Elijah,prophet|judgment|worship,Elijah confronts the prophets of Baal on Mount Carmel,1 Kings 18,0.90
samaria_falls,Fall of Samaria,2 Kings,17,1,17,23,-722,-722,Divided Kingdom,Samaria,32.277,35.188,exile,Assyria|Israel,judgment|exile,The northern kingdom falls to Assyria,2 Kings 17,0.95
jerusalem_falls,Fall of Jerusalem,2 Kings,25,1,25,21,-586,-586,Exile,Jerusalem,31.778,35.235,exile,Nebuchadnezzar|Judah,judgment|exile|temple,Jerusalem and the temple are destroyed by Babylon,2 Kings 25,0.98
return_exile,Return from Exile,Ezra,1,1,3,13,-538,-516,Return Period,Jerusalem,31.778,35.235,return,Cyrus|Zerubbabel,return|temple|restoration,Exiles return and begin rebuilding the temple,Ezra 1-3,0.95
nehemiah_wall,Rebuilding Jerusalem Walls,Nehemiah,2,11,6,16,-445,-445,Return Period,Jerusalem,31.778,35.235,restoration,Nehemiah,restoration|leadership|jerusalem,Nehemiah leads the rebuilding of Jerusalem's walls,Nehemiah 2-6,0.92
jesus_birth,Birth of Jesus,Matthew,1,18,2,12,-4,-4,Life of Christ,Bethlehem,31.705,35.202,birth,Jesus|Mary|Joseph,incarnation|messiah|birth,Jesus is born in Bethlehem,Matthew 1-2|Luke 2,0.98
jesus_baptism,Baptism of Jesus,Matthew,3,13,3,17,27,27,Life of Christ,Jordan River,31.770,35.550,baptism,Jesus|John the Baptist,messiah|ministry,Jesus is baptized and publicly affirmed,Matthew 3:13-17,0.98
sermon_mount,Sermon on the Mount,Matthew,5,1,7,29,28,28,Life of Christ,Galilee,32.833,35.583,teaching,Jesus,kingdom|discipleship|ethics,Jesus teaches the ethics of the kingdom,Matthew 5-7,0.95
transfiguration,Transfiguration,Matthew,17,1,17,8,30,30,Life of Christ,Mount Tabor,32.686,35.390,glory,Jesus|Peter|James|John,glory|revelation,Jesus is transfigured before selected disciples,Matthew 17:1-8,0.90
triumphal_entry,Triumphal Entry,Matthew,21,1,21,11,33,33,Life of Christ,Jerusalem,31.778,35.235,kingship,Jesus,messiah|jerusalem|passion,Jesus enters Jerusalem as king,Matthew 21:1-11,0.98
crucifixion,Crucifixion of Jesus,Matthew,27,32,27,56,33,33,Life of Christ,Jerusalem,31.778,35.235,crucifixion,Jesus|Pilate|Roman soldiers,atonement|cross|salvation,Jesus is crucified outside Jerusalem,Matthew 27:32-56|John 19,0.99
resurrection,Resurrection of Jesus,Matthew,28,1,28,10,33,33,Life of Christ,Jerusalem,31.778,35.235,resurrection,Jesus,resurrection|victory|gospel,Jesus rises from the dead,Matthew 28:1-10|John 20,0.99
pentecost,Pentecost,Acts,2,1,2,41,33,33,Apostolic Period,Jerusalem,31.778,35.235,spirit,Peter|Apostles,holy_spirit|church|mission,The Spirit comes at Pentecost and the church expands,Acts 2,0.99
paul_conversion,Conversion of Paul,Acts,9,1,9,19,34,34,Apostolic Period,Damascus,33.513,36.292,conversion,Paul,mission|grace|apostleship,Saul encounters the risen Christ on the road to Damascus,Acts 9:1-19,0.99
jerusalem_council,Jerusalem Council,Acts,15,1,15,35,49,49,Apostolic Period,Jerusalem,31.778,35.235,council,Paul|Peter|James,church|gentiles|gospel,The church affirms Gentile inclusion without full Torah conversion,Acts 15,0.95
paul_athens,Paul in Athens,Acts,17,16,17,34,50,50,Apostolic Period,Athens,37.983,23.727,mission,Paul,mission|apologetics|gentiles,Paul addresses the Areopagus in Athens,Acts 17:16-34,0.95
paul_rome,Paul Arrives in Rome,Acts,28,11,28,31,60,60,Apostolic Period,Rome,41.902,12.496,mission,Paul,mission|kingdom|gospel,Paul reaches Rome and continues proclaiming the kingdom,Acts 28:11-31,0.95
