id,title,book,chapter_start,verse_start,chapter_end,verse_end,approx_start_year,approx_end_year,time_label,location_name,latitude,longitude,event_type,people,tags,summary,sources,confidence
creation,Creation,Genesis,1,1,2,3,-4000,-4000,Primeval Age,Eden,,,creation,God|Adam|Eve,creation|origins|humanity,God creates the heavens and the earth and places humanity in Eden.,Genesis 1-2,0.70
fall,Fall of Humanity,Genesis,3,1,3,24,-4000,-4000,Primeval Age,Eden,,,rebellion,Adam|Eve|Serpent,fall|sin|judgment,Humanity rebels against God and is expelled from Eden.,Genesis 3,0.75
cain_abel,Cain and Abel,Genesis,4,1,4,16,-3900,-3900,Primeval Age,,,,violence,Cain|Abel,sin|worship|judgment,Cain murders Abel and is judged by God.,Genesis 4,0.72
flood,The Flood,Genesis,6,5,9,17,-2500,-2500,Primeval Age,Ararat,39.702,44.299,judgment,Noah,judgment|covenant|flood,God judges the world by flood and preserves Noah and his family.,Genesis 6-9,0.80
noah_covenant,Noahic Covenant,Genesis,9,1,9,17,-2500,-2500,Primeval Age,Ararat,39.702,44.299,covenant,Noah,covenant|creation|mercy,God establishes covenant with Noah after the flood.,Genesis 9:1-17,0.82
babel,Tower of Babel,Genesis,11,1,11,9,-2200,-2200,Primeval Age,Babylon,32.536,44.42,judgment,humanity,nations|language|judgment,Human pride at Babel leads to the confusion of languages.,Genesis 11:1-9,0.75
abraham_call,Call of Abraham,Genesis,12,1,12,9,-2090,-2090,Patriarchal Period,Haran,36.867,39.031,calling,Abraham,patriarchs|promise|covenant,God calls Abram and promises to bless all nations through him.,Genesis 12:1-9,0.90
abraham_covenant,Abrahamic Covenant,Genesis,15,1,17,27,-2080,-2080,Patriarchal Period,Canaan,31.5,35.0,covenant,Abraham,covenant|promise|land,God formalizes covenant promises with Abraham.,Genesis 15-17,0.90
sodom,Destruction of Sodom,Genesis,19,1,19,29,-2065,-2065,Patriarchal Period,Sodom,31.3,35.5,judgment,Lot|Abraham,judgment|mercy,God destroys Sodom while rescuing Lot.,Genesis 19,0.76
isaac_birth,Birth of Isaac,Genesis,21,1,21,7,-2065,-2065,Patriarchal Period,Beersheba,31.252,34.791,birth,Abraham|Sarah|Isaac,promise|patriarchs,Isaac is born as the child of promise.,Genesis 21:1-7,0.90
binding_isaac,Binding of Isaac,Genesis,22,1,22,19,-2050,-2050,Patriarchal Period,Moriah,31.778,35.235,test,Abraham|Isaac,faith|sacrifice|promise,Abraham is tested and God provides the ram.,Genesis 22,0.89
jacob_bethel,Jacob at Bethel,Genesis,28,10,28,22,-1929,-1929,Patriarchal Period,Bethel,31.93,35.22,vision,Jacob,covenant|promise|worship,Jacob sees the ladder and receives covenant reassurance.,Genesis 28:10-22,0.80
jacob_wrestles,Jacob Wrestles at Peniel,Genesis,32,22,32,32,-1900,-1900,Patriarchal Period,Peniel,32.1,35.5,encounter,Jacob,identity|blessing,Jacob wrestles with God and is renamed Israel.,Genesis 32:22-32,0.85
joseph_sold,Joseph Sold into Egypt,Genesis,37,12,37,36,-1898,-1898,Patriarchal Period,Dothan,32.129,35.648,betrayal,Joseph|Jacob's sons,providence|family,Joseph is sold by his brothers and taken to Egypt.,Genesis 37,0.87
joseph_egypt,Joseph Rises in Egypt,Genesis,41,37,41,57,-1885,-1885,Patriarchal Period,Egypt,30.044,31.236,providence,Joseph,providence|wisdom|deliverance,Joseph rises to power in Egypt and preserves many lives.,Genesis 41,0.85
jacob_egypt,Jacob's Family Enters Egypt,Genesis,46,1,47,12,-1876,-1876,Patriarchal Period,Goshen,30.9,31.8,migration,Jacob|Joseph,family|providence,Jacob and his household settle in Egypt.,Genesis 46-47,0.84
moses_birth,Birth of Moses,Exodus,2,1,2,10,-1526,-1526,Exodus Period,Egypt,30.044,31.236,birth,Moses,deliverance|leadership,Moses is born and preserved in Pharaoh's household.,Exodus 2:1-10,0.88
exodus_call_moses,Call of Moses,Exodus,3,1,4,17,-1446,-1446,Exodus Period,Horeb,28.539,34.47,calling,Moses,deliverance|calling|covenant,God calls Moses at the burning bush to lead Israel out of Egypt.,Exodus 3-4,0.90
plagues,The Ten Plagues,Exodus,7,14,12,30,-1446,-1446,Exodus Period,Egypt,30.044,31.236,judgment,Moses|Aaron|Pharaoh,judgment|deliverance,God strikes Egypt with ten plagues.,Exodus 7-12,0.94
passover,Passover and Exodus,Exodus,12,1,14,31,-1446,-1446,Exodus Period,Rameses,30.786,31.0,deliverance,Moses|Aaron|Pharaoh,passover|deliverance|exodus,Israel departs Egypt after the Passover judgment.,Exodus 12-14,0.95
red_sea,Crossing the Red Sea,Exodus,14,1,14,31,-1446,-1446,Exodus Period,Red Sea,29.5,32.55,miracle,Moses|Israel,deliverance|salvation,God parts the sea and saves Israel from Egypt.,Exodus 14,0.95
manna,Manna in the Wilderness,Exodus,16,1,16,36,-1446,-1446,Exodus Period,Wilderness of Sin,29.8,33.0,provision,Moses|Israel,provision|wilderness,God provides manna for Israel in the wilderness.,Exodus 16,0.88
sinai_covenant,Covenant at Sinai,Exodus,19,1,24,18,-1446,-1446,Exodus Period,Mount Sinai,28.539,33.975,covenant,Moses|Israel,covenant|law|worship,God gives the law and covenant instructions at Sinai.,Exodus 19-24,0.92
golden_calf,Golden Calf,Exodus,32,1,32,35,-1446,-1446,Exodus Period,Mount Sinai,28.539,33.975,rebellion,Aaron|Israel|Moses,idolatry|judgment,Israel worships the golden calf while Moses is on the mountain.,Exodus 32,0.91
tabernacle,Tabernacle Completed,Exodus,40,1,40,38,-1445,-1445,Exodus Period,Mount Sinai,28.539,33.975,worship,Moses|Israel,tabernacle|glory|worship,The tabernacle is completed and God's glory fills it.,Exodus 40,0.90
spies,Twelve Spies Sent,Numbers,13,1,14,38,-1444,-1444,Wilderness Period,Kadesh Barnea,30.611,34.434,testing,Moses|Joshua|Caleb,faith|rebellion|judgment,Israel refuses to enter the land after the spies' report.,Numbers 13-14,0.89
balaam,Balaam and the Donkey,Numbers,22,1,24,25,-1407,-1407,Wilderness Period,Moab,31.7,35.7,prophecy,Balaam|Balak,blessing|nations,God turns intended curses into blessing through Balaam.,Numbers 22-24,0.78
deuteronomy_addresses,Moses' Final Addresses,Deuteronomy,1,1,34,12,-1406,-1406,Wilderness Period,Plains of Moab,31.8,35.7,farewell,Moses,law|covenant|leadership,Moses renews covenant and prepares Israel to enter the land.,Deuteronomy,0.92
jordan_crossing,Crossing the Jordan,Joshua,3,1,4,24,-1406,-1406,Conquest Period,Jordan River,31.77,35.55,conquest,Joshua,conquest|promise|land,Israel crosses the Jordan into the promised land.,Joshua 3-4,0.88
jericho,Fall of Jericho,Joshua,6,1,6,27,-1406,-1406,Conquest Period,Jericho,31.87,35.45,battle,Joshua,conquest|faith|judgment,Jericho falls as Israel follows God's command.,Joshua 6,0.88
ai,Victory at Ai,Joshua,8,1,8,29,-1406,-1406,Conquest Period,Ai,31.93,35.26,battle,Joshua,conquest|repentance,Israel defeats Ai after dealing with Achan's sin.,Joshua 8,0.84
sun_stands_still,Sun Stands Still,Joshua,10,1,10,15,-1405,-1405,Conquest Period,Gibeon,31.846,35.184,miracle,Joshua,battle|miracle,God gives Israel victory as the sun stands still.,Joshua 10:1-15,0.83
land_divided,Land Allotments,Joshua,13,1,21,45,-1400,-1400,Conquest Period,Canaan,31.5,35.0,inheritance,Joshua|Israel,land|inheritance,The land is apportioned among the tribes.,Joshua 13-21,0.82
deborah,Deborah and Barak,Judges,4,1,5,31,-1230,-1230,Judges Period,Mount Tabor,32.686,35.39,deliverance,Deborah|Barak|Sisera,judges|deliverance,Deborah leads Israel to victory over Sisera.,Judges 4-5,0.86
gideon,Gideon's Victory,Judges,6,1,8,35,-1160,-1160,Judges Period,Ophrah,32.0,35.3,deliverance,Gideon,faith|deliverance,God delivers Israel through Gideon's reduced army.,Judges 6-8,0.85
samson,Samson's Deliverance,Judges,13,1,16,31,-1100,-1080,Judges Period,Gaza,31.501,34.466,deliverance,Samson,strength|judges,Samson judges Israel and confronts the Philistines.,Judges 13-16,0.80
samuel_call,Call of Samuel,1 Samuel,3,1,3,21,-1100,-1100,Judges to Kingdom Transition,Shiloh,32.05,35.287,calling,Samuel,prophet|calling|transition,The Lord calls Samuel as prophet in Israel.,1 Samuel 3,0.85
ark_captured,Ark Captured by Philistines,1 Samuel,4,1,7,1,-1084,-1084,Judges to Kingdom Transition,Ebenezer,32.25,34.95,judgment,Eli|Philistines|Samuel,ark|judgment,"The ark is captured, bringing judgment and fear.",1 Samuel 4-7,0.78
saul_anointed,Saul Anointed King,1 Samuel,10,1,10,27,-1050,-1050,United Kingdom,Mizpah,31.88,35.27,anointing,Saul|Samuel,kingship|transition,Saul is chosen and presented as Israel's king.,1 Samuel 10,0.90
david_anointed,David Anointed,1 Samuel,16,1,16,13,-1025,-1025,United Kingdom,Bethlehem,31.705,35.202,anointing,David|Samuel,kingship|calling,Samuel anoints David as future king.,1 Samuel 16:1-13,0.92
david_goliath,David and Goliath,1 Samuel,17,1,17,58,-1020,-1020,United Kingdom,Valley of Elah,31.704,34.961,battle,David|Goliath,faith|battle,David defeats Goliath in the name of the Lord.,1 Samuel 17,0.95
david_jerusalem,David Takes Jerusalem,2 Samuel,5,1,5,10,-1003,-1003,United Kingdom,Jerusalem,31.778,35.235,kingship,David,kingdom|jerusalem,David establishes Jerusalem as royal city.,2 Samuel 5:1-10,0.92
davidic_covenant,Davidic Covenant,2 Samuel,7,1,7,29,-1000,-1000,United Kingdom,Jerusalem,31.778,35.235,covenant,David,covenant|messiah|kingdom,God promises David an enduring house and kingdom.,2 Samuel 7,0.97
solomon_temple,Temple Built,1 Kings,6,1,8,66,-966,-959,United Kingdom,Jerusalem,31.778,35.235,temple,Solomon,worship|temple|kingdom,Solomon builds and dedicates the temple.,1 Kings 6-8,0.95
kingdom_divides,Kingdom Divides,1 Kings,12,1,12,24,-930,-930,Divided Kingdom,Shechem,32.218,35.272,kingdom,Rehoboam|Jeroboam,kingdom|division|judgment,The kingdom divides into Israel and Judah.,1 Kings 12,0.95
elijah_carmel,Elijah at Carmel,1 Kings,18,20,18,46,-860,-860,Divided Kingdom,Mount Carmel,32.665,35.04,prophetic_conflict,Elijah,prophet|judgment|worship,Elijah confronts the prophets of Baal on Mount Carmel.,1 Kings 18,0.90
elisha_heals,Elisha's Ministry,2 Kings,4,1,8,15,-850,-840,Divided Kingdom,Samaria,32.277,35.188,prophetic_ministry,Elisha,prophet|mercy|power,"Elisha ministers with signs, healings, and counsel.",2 Kings 4-8,0.78
jonah_nineveh,Jonah in Nineveh,Jonah,1,1,4,11,-760,-760,Divided Kingdom,Nineveh,36.36,43.15,prophetic_mission,Jonah,repentance|nations|mercy,Jonah proclaims judgment and Nineveh repents.,Jonah,0.86
samaria_falls,Fall of Samaria,2 Kings,17,1,17,23,-722,-722,Divided Kingdom,Samaria,32.277,35.188,exile,Assyria|Israel,judgment|exile,The northern kingdom falls to Assyria.,2 Kings 17,0.95
hezekiah_deliverance,Hezekiah and Assyria,2 Kings,18,13,19,37,-701,-701,Divided Kingdom,Jerusalem,31.778,35.235,deliverance,Hezekiah|Isaiah|Sennacherib,prayer|deliverance,God delivers Jerusalem from Assyria in Hezekiah's days.,2 Kings 18-19,0.93
josiah_reform,Josiah's Reform,2 Kings,22,1,23,30,-622,-622,Divided Kingdom,Jerusalem,31.778,35.235,reform,Josiah,law|reform|covenant,Josiah renews covenant after the law book is found.,2 Kings 22-23,0.91
jerusalem_falls,Fall of Jerusalem,2 Kings,25,1,25,21,-586,-586,Exile,Jerusalem,31.778,35.235,exile,Nebuchadnezzar|Judah,judgment|exile|temple,Jerusalem and the temple are destroyed by Babylon.,2 Kings 25,0.98
daniel_exile,Daniel in Babylon,Daniel,1,1,6,28,-605,-539,Exile,Babylon,32.536,44.42,exile,Daniel,wisdom|kingdom|faithfulness,Daniel serves faithfully in Babylon and receives visions.,Daniel 1-6,0.88
ezekiel_visions,Ezekiel's Visions,Ezekiel,1,1,3,27,-593,-593,Exile,Chebar Canal,32.0,44.0,vision,Ezekiel,glory|judgment|hope,Ezekiel sees God's glory among the exiles.,Ezekiel 1-3,0.82
return_exile,Return from Exile,Ezra,1,1,3,13,-538,-516,Return Period,Jerusalem,31.778,35.235,return,Cyrus|Zerubbabel,return|temple|restoration,Exiles return and begin rebuilding the temple.,Ezra 1-3,0.95
second_temple,Second Temple Completed,Ezra,6,1,6,22,-516,-516,Return Period,Jerusalem,31.778,35.235,temple,Zerubbabel,temple|restoration,The rebuilt temple is completed and dedicated.,Ezra 6,0.94
esther_deliverance,Deliverance in Esther,Esther,4,1,9,32,-480,-480,Persian Period,Susa,32.189,48.257,deliverance,Esther|Mordecai,providence|deliverance,God preserves his people through Esther's courage.,Esther 4-9,0.87
nehemiah_wall,Rebuilding Jerusalem Walls,Nehemiah,2,11,6,16,-445,-445,Return Period,Jerusalem,31.778,35.235,restoration,Nehemiah,restoration|leadership|jerusalem,Nehemiah leads the rebuilding of Jerusalem's walls.,Nehemiah 2-6,0.92
malachi_rebuke,Malachi's Rebuke,Malachi,1,1,4,6,-430,-430,Second Temple Period,Jerusalem,31.778,35.235,prophetic_rebuke,Malachi,worship|covenant,Malachi calls post-exilic Judah to covenant faithfulness.,Malachi,0.80
jesus_birth,Birth of Jesus,Matthew,1,18,2,12,-4,-4,Life of Christ,Bethlehem,31.705,35.202,birth,Jesus|Mary|Joseph,incarnation|messiah|birth,Jesus is born in Bethlehem.,Matthew 1-2|Luke 2,0.98
jesus_baptism,Baptism of Jesus,Matthew,3,13,3,17,27,27,Life of Christ,Jordan River,31.77,35.55,baptism,Jesus|John the Baptist,messiah|ministry,Jesus is baptized and publicly affirmed.,Matthew 3:13-17,0.98
temptation,Temptation in the Wilderness,Matthew,4,1,4,11,27,27,Life of Christ,Judean Wilderness,31.7,35.3,testing,Jesus,obedience|kingdom,Jesus withstands temptation in the wilderness.,Matthew 4:1-11,0.95
sermon_mount,Sermon on the Mount,Matthew,5,1,7,29,28,28,Life of Christ,Galilee,32.833,35.583,teaching,Jesus,kingdom|discipleship|ethics,Jesus teaches the ethics of the kingdom.,Matthew 5-7,0.95
feeding_5000,Feeding the Five Thousand,Matthew,14,13,14,21,29,29,Life of Christ,Galilee,32.85,35.6,miracle,Jesus,provision|kingdom,Jesus miraculously feeds the crowd.,Matthew 14:13-21,0.93
transfiguration,Transfiguration,Matthew,17,1,17,8,30,30,Life of Christ,Mount Tabor,32.686,35.39,glory,Jesus|Peter|James|John,glory|revelation,Jesus is transfigured before selected disciples.,Matthew 17:1-8,0.90
raising_lazarus,Raising of Lazarus,John,11,1,11,44,30,30,Life of Christ,Bethany,31.771,35.265,miracle,Jesus|Lazarus|Martha|Mary,resurrection|sign,Jesus raises Lazarus from the dead.,John 11,0.95
triumphal_entry,Triumphal Entry,Matthew,21,1,21,11,33,33,Life of Christ,Jerusalem,31.778,35.235,kingship,Jesus,messiah|jerusalem|passion,Jesus enters Jerusalem as king.,Matthew 21:1-11,0.98
last_supper,Last Supper,Luke,22,7,22,38,33,33,Life of Christ,Jerusalem,31.778,35.235,meal,Jesus|Apostles,covenant|communion,Jesus shares the final Passover meal with his disciples.,Luke 22:7-38,0.98
crucifixion,Crucifixion of Jesus,Matthew,27,32,27,56,33,33,Life of Christ,Jerusalem,31.778,35.235,crucifixion,Jesus|Pilate|Roman soldiers,atonement|cross|salvation,Jesus is crucified outside Jerusalem.,Matthew 27:32-56|John 19,0.99
resurrection,Resurrection of Jesus,Matthew,28,1,28,10,33,33,Life of Christ,Jerusalem,31.778,35.235,resurrection,Jesus,resurrection|victory|gospel,Jesus rises from the dead.,Matthew 28:1-10|John 20,0.99
great_commission,Great Commission,Matthew,28,16,28,20,33,33,Life of Christ,Galilee,32.833,35.583,commission,Jesus|Disciples,mission|discipleship,Jesus commissions his followers to make disciples of all nations.,Matthew 28:16-20,0.99
ascension,Ascension of Jesus,Acts,1,1,1,11,33,33,Apostolic Period,Mount of Olives,31.778,35.243,ascension,Jesus|Apostles,kingdom|mission,Jesus ascends and promises the Spirit.,Acts 1:1-11,0.99
pentecost,Pentecost,Acts,2,1,2,41,33,33,Apostolic Period,Jerusalem,31.778,35.235,spirit,Peter|Apostles,holy_spirit|church|mission,The Spirit comes at Pentecost and the church expands.,Acts 2,0.99
stephen_martyrdom,Stephen's Martyrdom,Acts,7,1,8,3,34,34,Apostolic Period,Jerusalem,31.778,35.235,martyrdom,Stephen|Saul,witness|persecution,Stephen is martyred and persecution scatters believers.,Acts 7-8,0.92
paul_conversion,Conversion of Paul,Acts,9,1,9,19,34,34,Apostolic Period,Damascus,33.513,36.292,conversion,Paul,mission|grace|apostleship,Saul encounters the risen Christ on the road to Damascus.,Acts 9:1-19,0.99
cornelius,Cornelius Receives the Gospel,Acts,10,1,10,48,38,38,Apostolic Period,Caesarea,32.5,34.89,mission,Peter|Cornelius,gentiles|spirit|church,The gospel is clearly extended to Gentiles.,Acts 10,0.97
jerusalem_council,Jerusalem Council,Acts,15,1,15,35,49,49,Apostolic Period,Jerusalem,31.778,35.235,council,Paul|Peter|James,church|gentiles|gospel,The church affirms Gentile inclusion without full Torah conversion.,Acts 15,0.95
paul_macedonia,Macedonian Call,Acts,16,6,16,15,49,49,Apostolic Period,Troas,39.958,26.238,vision,Paul,mission|guidance,Paul is directed by a vision to take the gospel into Macedonia.,Acts 16:6-15,0.90
paul_athens,Paul in Athens,Acts,17,16,17,34,50,50,Apostolic Period,Athens,37.983,23.727,mission,Paul,mission|apologetics|gentiles,Paul addresses the Areopagus in Athens.,Acts 17:16-34,0.95
paul_ephesus,Paul in Ephesus,Acts,19,1,20,1,52,55,Apostolic Period,Ephesus,37.939,27.341,mission,Paul,mission|discipleship|church,Paul's ministry deeply impacts Ephesus and the surrounding region.,Acts 19,0.92
paul_caesarea,Paul Before Felix and Agrippa,Acts,24,1,26,32,58,60,Apostolic Period,Caesarea,32.5,34.89,trial,Paul|Felix|Agrippa,witness|suffering,Paul testifies before rulers while imprisoned.,Acts 24-26,0.91
paul_shipwreck,Paul's Shipwreck,Acts,27,1,28,10,60,60,Apostolic Period,Malta,35.937,14.375,journey,Paul,providence|mission,Paul survives shipwreck on the way to Rome.,Acts 27-28,0.94
paul_rome,Paul Arrives in Rome,Acts,28,11,28,31,60,60,Apostolic Period,Rome,41.902,12.496,mission,Paul,mission|kingdom|gospel,Paul reaches Rome and continues proclaiming the kingdom.,Acts 28:11-31,0.95
